GEO_ID,Geographic_Area_Name,Households,Median_Income_Household,Median_Income_White,Median_Income_Black,Median_Income_AIAN,Median_Income_Asian,Median_Income_NHPI,Percent_Other_Race,Median_Income_Other_Race,Percent_Hispanic_or_Latino,Median_Income_Hispanic_or_Latino,Percent_15_to_24,Median_Income_15_to_24,Percent_25_to_44,Median_Income_25_to_44,Percent_45_to_64,Median_Income_45_to_64,Percent_65_and_over,Median_Income_65_and_Over,Families,Median_Income_Family,Percent_Family_With_Children,Median_Income_Family_with_Children,Percent_Family_no_Children,Median_Income_Family_no_Children,Percent_Married_Couple_Family,Median_Income_Married_Couple_Family,Percent_Female_Householder_no_Spouse,Median_Income_Female_Householder_no_Spouse,Percent_Male_Householder_no_Spouse,Median_Income_Male_Householder_no_Spouse,Nonfamily_Households,Median_Income_Nonfamily_Households,Percent_Nonfamily_Lone_Female,Median_Income_Nonfamily_Lone_Female,Percent_Nonfamily_Lone_Male,Median_Income_Nonfamily_Lone_Male
53061052104,"Census Tract 521.04, Snohomish County, Washington",1328,107396,107557,-,-,-,-,0,-,9.7,97656,0,-,48,106223,34.9,131914,17.2,75093,845,108376,312,100143,533,111313,722,108592,80,-,43,84531,483,105734,124,66079,102,94773
53061052105,"Census Tract 521.05, Snohomish County, Washington",669,106719,113250,-,-,-,-,0.9,-,3.1,-,0,-,23.9,162727,42.5,159750,33.6,64650,540,139500,103,167250,437,138438,498,143929,31,-,11,-,129,26875,34,-,59,19115
53061052107,"Census Tract 521.07, Snohomish County, Washington",2690,165545,165379,180347,-,161848,-,1,-,2.1,-,3.4,-,52.2,167633,35.4,156463,9,74688,2332,167778,1585,169250,747,148681,1881,165635,185,-,266,183796,358,-,82,-,160,-
53061052108,"Census Tract 521.08, Snohomish County, Washington",2008,153350,149085,-,-,-,-,2,-,5.4,156397,3,-,23.9,169043,53.6,162841,19.5,99875,1584,168320,580,176220,1004,148382,1445,168730,89,-,50,134583,424,73000,199,34250,86,-
53061052112,"Census Tract 521.12, Snohomish County, Washington",900,139000,139375,-,-,153571,-,0,-,3.4,-,1.2,-,22,143750,52.7,187813,24.1,77019,702,152000,201,216250,501,135625,650,152727,22,-,30,-,198,51250,17,28958,97,49514
53061052113,"Census Tract 521.13, Snohomish County, Washington",1040,145147,140577,-,-,"250,000+",-,0,-,2,"250,000+",0,-,25.7,141442,53.8,151645,20.6,101944,838,145882,289,125083,549,163715,751,161103,43,-,44,-,202,130000,17,-,90,-
53061052114,"Census Tract 521.14, Snohomish County, Washington",1527,152054,153408,-,-,131875,-,1.5,-,2,-,0,-,22.6,131157,61.3,164375,16.1,116875,1349,154539,560,154750,789,154179,1257,158958,62,97895,30,163333,178,-,60,102708,93,-
53061052119,"Census Tract 521.19, Snohomish County, Washington",974,150833,163056,-,-,135855,-,0,-,1.1,-,2.3,-,31.4,138833,58.3,174907,8,-,827,140391,367,139361,460,151296,670,172685,143,-,14,-,147,152670,61,81393,11,-
53061052120,"Census Tract 521.20, Snohomish County, Washington",1248,129196,132723,-,-,124318,-,3,-,7.4,101554,0,-,36.5,124697,49.8,146711,13.6,66750,1071,133591,581,132782,490,162353,965,133735,16,-,90,134028,177,68073,75,-,87,84659
53061052121,"Census Tract 521.21, Snohomish County, Washington",1219,127850,122038,-,-,129886,-,0,-,4.1,-,0,-,33.6,102321,56.4,150293,10,-,907,128050,496,133523,411,109632,777,138448,119,73807,11,-,312,121967,62,-,47,-
53061052122,"Census Tract 521.22, Snohomish County, Washington",1313,116553,110000,-,-,-,-,0,-,6.5,180985,0,-,51.5,103750,37.4,182337,11.1,44519,1074,127500,652,122375,422,140192,796,154286,243,-,35,-,239,90150,123,-,44,104167
53061052203,"Census Tract 522.03, Snohomish County, Washington",2004,115607,111389,-,-,134018,-,2,"250,000+",7.3,151346,0,-,39.6,134731,42.5,102679,17.9,63529,1705,129148,763,124861,942,130556,1497,134173,132,36293,76,-,299,-,109,-,106,76538
53061052204,"Census Tract 522.04, Snohomish County, Washington",1658,98864,99886,-,-,84728,-,5.9,50438,10.3,70268,2,-,45.5,104844,42,99432,10.4,78250,1426,101268,766,100172,660,102063,1191,102750,128,102130,107,70859,232,69500,57,-,73,54673
53061052206,"Census Tract 522.06, Snohomish County, Washington",1740,142500,143438,-,-,-,-,1.7,-,2.2,-,0.9,-,30.6,134545,47.4,174375,21.1,87813,1467,153375,565,149728,902,163750,1361,162455,65,35799,41,-,273,51458,115,35781,69,37614
53061052207,"Census Tract 522.07, Snohomish County, Washington",1960,109732,117250,-,-,-,-,1,-,5.8,-,1.7,-,35.5,113958,40.8,129125,22,63864,1592,119491,705,121086,887,117656,1306,126000,139,63281,147,35817,368,56477,158,-,121,52321
53061052208,"Census Tract 522.08, Snohomish County, Washington",1481,64253,65045,-,-,-,-,8.5,53590,16.3,61440,10.3,80595,41.3,67375,23.2,72250,25.2,57939,925,64489,630,63864,295,73466,524,81310,259,52660,142,47083,556,59667,275,57083,187,47125
53061052210,"Census Tract 522.10, Snohomish County, Washington",812,92830,94583,-,-,-,-,4.1,-,17,93182,3.3,61250,37.4,92955,36.6,98438,22.7,66000,626,94198,311,83906,315,99076,394,95690,137,-,95,82969,186,78036,86,46667,54,82143
53061052211,"Census Tract 522.11, Snohomish County, Washington",177,82054,81786,-,-,-,-,0,-,9,63500,3.4,-,42.4,122708,41.8,71667,12.4,20000,100,85227,82,74583,18,-,25,101250,26,24821,49,86420,77,63359,55,61250,6,-
53061052301,"Census Tract 523.01, Snohomish County, Washington",1674,129444,135750,-,-,-,-,2.3,-,3.2,-,0.8,-,20.1,144688,54.2,145776,24.9,59028,1420,128056,414,135750,1006,126417,1215,136047,110,142557,95,78958,254,40455,108,21429,50,45909
53061052302,"Census Tract 523.02, Snohomish County, Washington",1744,114688,110466,-,-,-,-,0,-,10,-,0.5,-,21.1,99792,47.8,166750,30.6,76250,1428,130000,540,110417,888,154091,1260,148654,122,49000,46,-,316,42429,123,41036,131,-
